antibiotic,abbreviation,cid,antibiotic_class,who_class
Amoxicillin,AMX,33613,beta_lactam,CIA
Piperacillin,PIP,43672,beta_lactam,CIA
Ticarcillin,TIC,36921,beta_lactam,CIA
Cefepime,FEP,5479537,beta_lactam,CIA
Cefazolin,CZO,33255,beta_lactam,HIA
Ceftolozane,CZT,53234134,beta_lactam,CIA
Ceftriaxone,CRO,5479530,beta_lactam,CIA
Ceftazidime,CAZ,5481173,beta_lactam,CIA
Aztreonam,ATM,5742832,beta_lactam,CIA
Imipenem,IPM,104838,beta_lactam,CIA
Meropenem,MEM,441130,beta_lactam,CIA
Doripenem,DOR,73303,beta_lactam,CIA
Vancomycin,VAN,14969,glycopeptide,CIA
Tigecycline,TGC,54686904,glycylcycline,CIA
Minocycline,MNO,54675783,tetracycline,HIA
Doxycycline,DOX,54671203,tetracycline,HIA
Tetracycline,TCY,54675776,tetracycline,HIA
Chlortetracycline,CTE,54675777,tetracycline,HIA
Azithromycin,AZM,447043,macrolide,CIA
Erythromycin,ERY,12560,macrolide,CIA
Clarithromycin,CLR,84029,macrolide,CIA
Chloramphenicol,CHL,5959,amphenicol,HIA
Linezolid,LNZ,441401,oxazolidinone,CIA
Rifampicin,RIF,135398735,ansamycin,CIA
Fosfomycin,FOS,446987,phosphonic,CIA
Amikacin,AMK,37768,aminoglycoside,CIA
Tobramycin,TOB,36294,aminoglycoside,CIA
Streptomycin,STR,19649,aminoglycoside,CIA
Kanamycin,KAN,6032,aminoglycoside,CIA
Trimethoprim,TMP,5578,trimethoprim,HIA
Sulfamethoxazole,SMX,5329,sulfonamide,HIA
Ciprofloxacin,CIP,2764,quinolone,CIA
Levofloxacin,LVX,149096,quinolone,CIA
Moxifloxacin,MFX,152946,quinolone,CIA
